lng,lat,timestamp_added,status,reward_scale,payer,owner,nonce,name,mode,location_hex,location,last_poc_challenge,last_change_block,geocode,gain,elevation,block_added,block,address
-104.99245755838258,39.750017962037546,2022-04-04T22:04:16.000000Z,"{'timestamp': '2022-04-08T07:57:26.203000Z', 'online': 'online', 'listen_addrs': ['/p2p/11GaMWWwSt4A6SpKRmKwoF1hVDFaQyXAayU7QqiSA9FhgLNKiy6/p2p-circuit/p2p/112ZBbLb5V3ZKx3M1A2HnosLtLx1MtNcfgZv3yktyt5tgEhJCEuJ'], 'height': 1302692}",0.0104217529296875,13v9iGhjvQUtVaZXcFFRCEbL1nPR4R8QJowBgMUcaGM2v1aV6mn,13coFrYcy8A285EbsjFuidXGEgh8JxDqxNyBUREmN92YLTqXM5W,1,cheery-mocha-mink,full,88268cda8dfffff,8c268cda8d297ff,1305114,1305562,"{'short_street': 'Arapahoe St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Arapahoe Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",30,67,1297681,1305776,112ZBbLb5V3ZKx3M1A2HnosLtLx1MtNcfgZv3yktyt5tgEhJCEuJ
-104.8965836757229,39.75721968531185,2022-04-04T01:01:03.000000Z,"{'timestamp': '2022-04-10T01:32:43.007000Z', 'online': 'online', 'listen_addrs': ['/ip4/75.70.210.30/tcp/44158'], 'height': 1305105}",0.2922210693359375,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,14SsKtaUkiYbhXqoMFrfF5hTSWQRqKW3nfufAcFyiZp43c7cGxV,1,little-fern-shrimp,full,88268cd1d5fffff,8c268cd1d5b53ff,1305012,1305562,"{'short_street': 'E 28th Pl', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': '28th Place', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,0,1296418,1305776,112u6nAw1kPqRBcHidQtLzr8MYC8Ete2ScAkUxeeWeciD9MeGkdB
-105.00788042087335,39.7594718408507,2022-04-03T20:15:06.000000Z,"{'timestamp': None, 'online': 'offline', 'listen_addrs': None, 'height': None}",0.0432891845703125,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,13bcfKGQPGbzmvrv1eahLiJ5S1BmE45L5GA4wsYtihGqPiRpMNx,1,zany-eggplant-mongoose,full,88268cdae9fffff,8c268cdae8e49ff,1302642,1303146,"{'short_street': 'Central St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Central Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,10,1296132,1305776,112hiZu9b4yF2kSFyaWoZfuRpUkEuRaCfqEkvfhpMTWpmZZxhLFL
-105.02732652488235,39.775567367068234,2022-04-03T18:46:59.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.1280059814453125,13MS2kZHU4h6wp3tExgoHdDFjBsb9HB9JBvcbK9XmfNyJ7jqzVv,14mTqtQkyWAhii8WYahVfi5drz4ukPgextcHbr6as2Y2N9xxZ7n,1,odd-corduroy-goblin,full,88268cda39fffff,8c268cda396d5ff,1305720,1305720,"{'short_street': 'Grove St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Grove Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,0,1296044,1305776,1126pRzGfDwmQpDzdCG742fp6SnuUciCLRj8ZU79JTiXujqmq76q
-105.0223104746064,39.76613129340866,2022-04-03T17:25:56.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.1280059814453125,14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL,14gxqHUhJrtQbWGNqq9rgT7pyfEF1KbeTnKpau2JVBk8oZ7nJou,1,noisy-beige-gerbil,full,88268cda3bfffff,8c268cda3a607ff,1305475,1305531,"{'short_street': 'Decatur St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Decatur Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,0,1295963,1305776,112Yo5HeYpnfgcH6ZevSootpWCAHLvnEhzHCub5mbgeMXfrQKhe1
-104.9808847009911,39.73968658015798,2022-04-03T01:58:49.000000Z,"{'timestamp': None, 'online': 'offline', 'listen_addrs': None, 'height': None}",0.093536376953125,14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL,14jk3PDgsF8nM9kLw6cmn6GoVLPTN2qBv4bhV4qErH4fYwRWJ1s,1,bright-strawberry-turtle,full,88268cda8bfffff,8c268cda8a805ff,1303445,1303499,"{'short_street': 'Pennsylvania St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Pennsylvania Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",40,6,1295036,1305776,11iwbbqo6Z7bWbkVRNs9WwVNkXcRYM2X4egc5eVvZwu4TdCt61q
-105.03922116575406,39.75151858757877,2022-04-03T01:12:03.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.2095947265625,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,14XN7P4E46NMNgc2xsVUbAMVThwUcidTYJd1LMTUBHohEEdLv8e,1,fast-neon-pelican,full,88268cd859fffff,8c268cd858a63ff,1305615,1305761,"{'short_street': 'W 23rd Ave', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'West 23rd Avenue', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,4,1294988,1305776,11oMbUcSombsDe292L5g7x5gzF2rkaWB4PzabbEUADcFgoyJqAN
-104.8697802363029,39.700025865248136,2022-04-03T00:19:47.000000Z,"{'timestamp': '2022-04-09T03:17:37.671000Z', 'online': 'online', 'listen_addrs': ['/ip4/73.3.168.39/tcp/44158'], 'height': 1303811}",0.229248046875,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,14gj6w8HdqpW4hczLPt3dnSSm5W6vFsrRVtPYYvaxi8GM7fuBne,1,fast-vermilion-mule,full,88268cc20dfffff,8c268cc20cda9ff,1304878,1305216,"{'short_street': 'S Fulton St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'South Fulton Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",12,0,1294937,1305776,112pJFkoW1oQvxzC3iH8VNNj1iFtDLiaBoH4aQbK4Lv4URB8NknU
-104.93906991035463,39.728773966577776,2022-04-02T23:52:44.000000Z,"{'timestamp': '2022-04-06T08:51:18.311000Z', 'online': 'online', 'listen_addrs': ['/p2p/112fPNguXkiY182aux1DSyRcHo5pc2iA8TwD7bGdxsCdGwy3Y2ap/p2p-circuit/p2p/112u9LTBNyvFDayeVZoWYifZWBKKurBBtUMibu3aihCUoCjVMVFz'], 'height': 1299806}",0.1328277587890625,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,13CA7BanC6rYPbXmfZRZ4p1Ko264kdjGyJww9sMDvwwKopbReDW,1,festive-pewter-sparrow,full,88268cd1a7fffff,8c268cd1a6287ff,1305062,1305062,"{'short_street': 'Albion St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Albion Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",26,3,1294910,1305776,112u9LTBNyvFDayeVZoWYifZWBKKurBBtUMibu3aihCUoCjVMVFz
-104.90160275984425,39.65784638403448,2022-04-02T22:20:35.000000Z,"{'timestamp': '2022-04-09T12:13:42.107000Z', 'online': 'online', 'listen_addrs': ['/ip4/38.13.50.35/tcp/44158', '/p2p/112kYswSHTgxrgD929hVnb8wQQEwWsTivbdeC2TmKxDmpvsLt64B/p2p-circuit/p2p/112Ab3Z18HMP1PmpAkJAV6w3ekjXuX4XJNVFaJWn6P3EDnbrnDWH'], 'height': 1304335}",0.1016082763671875,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,13UDCogeeScpbBtMuBWGsseJvyr765PxYjY8U8SnjwxUEm7nmrg,2,mean-coffee-frog,full,88268cc06bfffff,8c268cc06b4dbff,1305325,1305531,"{'short_street': 'E Eastman Ave', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'E Eastman Ave', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",58,7,1294818,1305776,112Ab3Z18HMP1PmpAkJAV6w3ekjXuX4XJNVFaJWn6P3EDnbrnDWH
-104.97680594712193,39.75172804146555,2022-04-02T22:01:47.000000Z,"{'timestamp': None, 'online': 'online', 'listen_addrs': None, 'height': None}",0.1450653076171875,13MS2kZHU4h6wp3tExgoHdDFjBsb9HB9JBvcbK9XmfNyJ7jqzVv,1383bgfXCXSsR6HAK94Ew793aKuseYMyK86FLPnLVHm3eTNcqWy,1,square-fuchsia-mandrill,full,88268cdad5fffff,8c268cdad5b0dff,1305161,1305464,"{'short_street': 'N Clarkson St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'North Clarkson street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",26,8,1294799,1305776,11M1bX9Zj7Ymz3VfDnnUW5Gio87mx1fV6QMVRjN9k1LAXhoQvSd
-105.04296219241695,39.78243939065186,2022-04-02T19:05:53.000000Z,"{'timestamp': '2022-04-07T18:42:04.690000Z', 'online': 'online', 'listen_addrs': ['/ip4/98.38.96.73/tcp/32768'], 'height': 1301927}",0.1150054931640625,13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY,14jgZS5A1bqW1svm7UFcACmT4omwsEjQXNtEprxgCQCjtZnutzM,1,square-fuchsia-sawfish,full,88268cda07fffff,8c268cda07811ff,1305397,1305397,"{'short_street': 'Stuart St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Stuart Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,3,1294605,1305776,11PZbZ3ZMrWwapacHeBKJ7X4BarQ7iN8LC1fdcZdYHGhV7gAfR9
-105.02132267117564,39.76816002325978,2022-04-01T21:16:42.000000Z,"{'timestamp': '2022-04-06T23:35:17.773000Z', 'online': 'online', 'listen_addrs': ['/ip4/71.229.165.211/tcp/44158'], 'height': 1300744}",0.1280059814453125,13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY,12zrQjmE5oRx4iN6V66xdNAshQBRVppqivFtbg3cb33r8q5iYBJ,1,generous-parchment-raccoon,full,88268cda3bfffff,8c268cda3b6a3ff,1305435,1305469,"{'short_street': 'W 37th Ave', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'West 37th Avenue', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,3,1293117,1305776,1127r8VGDPjmQfkp6id98yghStvu7WF8syMos8Xtjf7UruF4kXj9
-104.94892337300375,39.776894898303844,2022-04-01T13:54:23.000000Z,"{'timestamp': '2022-04-08T03:36:18.916000Z', 'online': 'online', 'listen_addrs': ['/p2p/11gzmWFbCSkJPNdCjqnLSQDrjXwc2p55VPioi6ZE7X3bdTFMpdb/p2p-circuit/p2p/112Mh2TwCJ5G321H9F8iGyCga2Laf7v87DYAFhAaa3Q13iZEm1cJ'], 'height': 1302443}",0.2922210693359375,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,14nMTNw4SiraLkZQGvWWAH7FeHA9MNP5XLxoyYq91sRH2mxRq2g,1,little-mercurial-spider,full,88268cd139fffff,8c268cd1384d5ff,1304667,1305724,"{'short_street': 'Adams St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Adams Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,0,1292615,1305776,112Mh2TwCJ5G321H9F8iGyCga2Laf7v87DYAFhAaa3Q13iZEm1cJ
-105.02619229120958,39.74325384739651,2022-03-31T23:32:05.000000Z,"{'timestamp': '2022-04-06T19:13:10.254000Z', 'online': 'online', 'listen_addrs': ['/p2p/112N9PfY3fpxf6qPbxUfGGishcarM6Cze6Lat4kZ2AjveocYV7Ar/p2p-circuit/p2p/114soxJtAZ6HvnfVpBkynhqqX3APaVgzCAi2rCMLoK8uWVmngsh'], 'height': 1300473}",0.1200103759765625,14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib,13hpjAMV58nagFF7z81E9HZv8Pvkoe1YDUniCJnQtpiyUfVAcxi,1,damaged-blonde-dragonfly,full,88268cd85bfffff,8c268cd85a733ff,1305024,1305724,"{'short_street': 'Grove St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Grove Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",30,10,1291680,1305776,114soxJtAZ6HvnfVpBkynhqqX3APaVgzCAi2rCMLoK8uWVmngsh
-104.83000818344904,39.77692097534153,2022-03-31T19:07:47.000000Z,"{'timestamp': '2022-04-09T17:47:54.781000Z', 'online': 'online', 'listen_addrs': ['/p2p/11H8yiCLJfKL4MeJRFw6tTb6fVWcosqQ4pyNS8SV7tUuFTXxSvS/p2p-circuit/p2p/1124dPhgDc4UXuzs1jCEtWFGuKEXaNbukW1UQrmPB8vsJ1gb7W7A'], 'height': 1304654}",0.2922210693359375,13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY,13CcstdQurZNdhJeM6wQFwVuw5vsnyEq1e1TGZLrKpJqQETSiVe,1,obedient-tiger-shark,full,88268cd0c1fffff,8c268cd0c1a6bff,1305609,1305609,"{'short_street': 'Cornish Way', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Cornish Way', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",23,2,1291415,1305776,1124dPhgDc4UXuzs1jCEtWFGuKEXaNbukW1UQrmPB8vsJ1gb7W7A
-104.9693694890391,39.73929513427752,2022-03-31T03:13:29.000000Z,"{'timestamp': '2022-04-08T12:02:42.759000Z', 'online': 'online', 'listen_addrs': ['/p2p/11GrRnLG2LRwdk3BBXVNhejfLaRybfHSf9ogJ53DSDGSc7E2U39/p2p-circuit/p2p/11kiC6g9aooHs7q42jxBNXKDRZyDPxLZZbt24vRpKpgETWxKE3a'], 'height': 1302921}",0.073150634765625,14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib,14GRuwyfw5BUarvXhKxrEMzgbmMtyjfbKSzKUHSMuzaWgMtqoiM,1,large-denim-bobcat,full,88268cdad7fffff,8c268cdad6999ff,1305107,1305500,"{'short_street': 'Humboldt St', 'short_state': 'CO', 'short_country': 'US', 'short_city': 'Denver', 'long_street': 'Humboldt Street', 'long_state': 'Colorado', 'long_country': 'United States', 'long_city': 'Denver', 'city_id': 'ZGVudmVyY29sb3JhZG91bml0ZWQgc3RhdGVz'}",30,25,1290370,1305776,11kiC6g9aooHs7q42jxBNXKDRZyDPxLZZbt24vRpKpgETWxKE3a
